i,n_playout,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1,400,0.006324295,1.5,5.238121986,4.391439,-0.009087656,0.416620787
2,400,0.009546034,2.25,4.937310219,4.3801384,0.330821181,0.56004123
3,400,0.005994315,3.375,4.748799324,4.362672,0.380731281,0.860228401
4,400,0.013081741,3.375,4.727662563,4.356142,0.47670293,0.692429566
5,400,0.024701964,3.375,4.796368599,4.3487277,0.41186573,0.584739566
6,400,0.0776686,2.25,4.710727692,4.252717,0.424918966,0.626083901
7,400,0.042918727,1.5,4.571715832,4.239287,0.502139081,0.723815585
8,400,0.034343403,1.5,4.801552296,4.2120657,0.325488412,0.471968463
9,400,0.04572177,1,4.651161194,4.178832,0.478425296,0.586246745
10,400,0.03751877,1,4.502024174,4.1347523,0.618891558,0.681867085
11,400,0.02317774,1,4.47633028,4.132336,0.623417726,0.699013089
12,400,0.029306136,1,4.378726482,4.0949078,0.71481957,0.757219817
13,400,0.036507517,1,4.371869087,4.0173,0.640935996,0.719021436
14,400,0.045446754,0.666666667,4.306764126,3.9862056,0.656527207,0.742097019
15,400,0.040254585,0.444444444,4.439264297,4.010712,0.539907081,0.597227058
16,400,0.023313768,0.444444444,4.371925831,3.9900732,0.588886624,0.625012814
17,400,0.021532457,0.444444444,4.296043873,3.9456396,0.610738388,0.674595762
18,400,0.022476397,0.444444444,4.371693611,3.923275,0.532593903,0.584357541
19,400,0.023436215,0.444444444,4.35571146,3.9313977,0.505269534,0.595809732
20,400,0.024614641,0.444444444,4.462290764,3.8787885,0.430015902,0.474978917
21,400,0.02276354,0.444444444,4.33998251,3.862423,0.474768712,0.546181973
22,400,0.024223927,0.444444444,4.327847958,3.8441978,0.519536367,0.579086026
23,400,0.027934032,0.444444444,4.476834297,3.8818436,0.354637349,0.420349065
24,400,0.028471917,0.444444444,4.477994442,3.8389773,0.327454715,0.393326813
25,400,0.028081425,0.444444444,4.491220951,3.859505,0.341408345,0.416041266
26,400,0.026033511,0.444444444,4.450079441,3.8574634,0.367108696,0.420571132
27,400,0.026268953,0.444444444,4.430207729,3.8265846,0.332931788,0.427353894
28,400,0.036147475,0.444444444,4.368245125,3.8113887,0.356970972,0.467898568
29,400,0.040097747,0.296296296,4.394603729,3.7936225,0.334203504,0.45023647
30,400,0.015708037,0.296296296,4.324379444,3.7897391,0.415224874,0.487003459
31,400,0.017340772,0.296296296,4.35525322,3.7915032,0.387173321,0.468520775
32,400,0.014395964,0.296296296,4.317686081,3.7853565,0.44126611,0.512302901
33,400,0.016070722,0.296296296,4.332025051,3.7827747,0.405984472,0.497118393
34,400,0.022111278,0.296296296,4.272671223,3.765724,0.457752397,0.537089148
35,400,0.019150335,0.296296296,4.377598286,3.7910976,0.358692359,0.442245734
36,400,0.020458387,0.296296296,4.361767769,3.7732701,0.352067868,0.431187279
